STATE,DISTRICT,CROP,YEAR,PRODUCTION_TONNES,AREA,SOURCE_URL
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,41.75,13.4,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,1610.0,944.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,8.5,23.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,260.5,1000.5,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,25.0,12.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,9.64,7.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,18.22,3.84,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,1.1,1.5,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,208.0,22.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,0.5,2.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,1.16,1.5,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,3425.0,593.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,71300000.0,14560.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NICOBARS,2010,2010,575.0,69.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,5200.0,3100.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,448.0,668.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,31863.0,10779.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,12073.0,1531.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,54.0,80.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,23900000.0,6992.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,1120.0,352.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,55.0,133.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,3736.0,141.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
ANDAMAN AND NICOBAR ISLANDS,NORTH AND MIDDLE ANDAMAN,2000,2000,843.0,78.0,https://data.gov.in/resource/35be999b-0208-4354-b557-f6ca9a5355de
